Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.525,-0.4087330982563607,-4.841369704588919,-0.002216024149407731
-0.5246875,-0.4087330982563607,-4.838541049614681,-0.002206573104795833
-0.524375,-0.4096782027175505,-4.833826624657618,-0.002206573104795833
-0.5240625,-0.4096782027175505,-4.83099796968338,-0.002197122060183934
-0.52375,-0.4096782027175505,-4.826283544726317,-0.002187671015572036
-0.5234375,-0.4106233071787403,-4.823454889752079,-0.002187671015572036
-0.523125,-0.4096782027175505,-4.819683349786429,-0.002197122060183934
-0.5228125,-0.4096782027175505,-4.815911809820778,-0.002187671015572036
-0.5225,-0.4096782027175505,-4.814026039837953,-0.002197122060183934
-0.5221875,-0.4096782027175505,-4.810254499872302,-0.002187671015572036
-0.521875,-0.4096782027175505,-4.807425844898065,-0.002197122060183934
-0.5215625,-0.4087330982563607,-4.804597189923827,-0.002187671015572036
-0.52125,-0.4087330982563607,-4.802711419941001,-0.002187671015572036
-0.5209375000000001,-0.4087330982563607,-4.797996994983938,-0.002178219970960138
-0.520625,-0.406842889333981,-4.795168340009701,-0.002178219970960138
-0.5203125,-0.4058977848727912,-4.792339685035463,-0.002178219970960138
-0.52,-0.406842889333981,-4.790453915052638,-0.002178219970960138
-0.5196875,-0.4058977848727912,-4.7876252600784,-0.002168768926348239
-0.519375,-0.4049526804116014,-4.78385372011275,-0.002159317881736341
-0.5190625,-0.4049526804116014,-4.781025065138511,-0.002159317881736341
-0.51875,-0.4040075759504115,-4.779139295155686,-0.002149866837124443
-0.5184375,-0.4040075759504115,-4.774424870198623,-0.002130964747900646
-0.5181249999999999,-0.4040075759504115,-4.770653330232973,-0.002140415792512544
-0.5178125,-0.4030624714892217,-4.767824675258735,-0.002130964747900646
-0.5175,-0.4030624714892217,-4.764996020284497,-0.002140415792512544
-0.5171875,-0.4030624714892217,-4.762167365310259,-0.002130964747900646
-0.516875,-0.4030624714892217,-4.760281595327434,-0.002130964747900646
-0.5165625,-0.4030624714892217,-4.756510055361783,-0.002130964747900646
-0.51625,-0.4021173670280319,-4.752738515396133,-0.002130964747900646
-0.5159375,-0.4030624714892217,-4.750852745413308,-0.002140415792512544
-0.515625,-0.401172262566842,-4.746138320456245,-0.002130964747900646
-0.5153125,-0.401172262566842,-4.743309665482007,-0.002130964747900646
-0.515,-0.401172262566842,-4.740481010507769,-0.002130964747900646
-0.5146875,-0.4002271581056522,-4.737652355533531,-0.002130964747900646
-0.514375,-0.4002271581056522,-4.733880815567881,-0.002130964747900646
-0.5140625,-0.4002271581056522,-4.731995045585055,-0.002130964747900646
-0.51375,-0.4002271581056522,-4.729166390610818,-0.002112062658676849
-0.5134375,-0.4002271581056522,-4.725394850645167,-0.002112062658676849
-0.5131250000000001,-0.3992820536444623,-4.721623310679517,-0.002102611614064951
-0.5128125,-0.3992820536444623,-4.720680425688104,-0.002102611614064951
-0.5125,-0.3992820536444623,-4.715966000731041,-0.002093160569453053
-0.5121875,-0.4002271581056522,-4.713137345756803,-0.002083709524841154
-0.511875,-0.4002271581056522,-4.70842292079974,-0.002093160569453053
-0.5115625,-0.4002271581056522,-4.705594265825503,-0.002083709524841154
-0.51125,-0.3992820536444623,-4.702765610851265,-0.002083709524841154
-0.5109375,-0.3992820536444623,-4.699936955877027,-0.002074258480229256
-0.510625,-0.3992820536444623,-4.695222530919963,-0.002074258480229256
-0.5103124999999999,-0.3992820536444623,-4.692393875945726,-0.002074258480229256
-0.51,-0.3983369491832725,-4.690508105962901,-0.002083709524841154
-0.5096875,-0.3983369491832725,-4.687679450988663,-0.002083709524841154
-0.509375,-0.3973918447220827,-4.682965026031599,-0.002074258480229256
-0.5090625,-0.3973918447220827,-4.680136371057362,-0.002074258480229256
-0.50875,-0.3973918447220827,-4.678250601074537,-0.002074258480229256
